@relation SieveQ1_Prediction
@attribute REt real 
@attribute REt-1 real 
@attribute REt-2 real 
@attribute REt-3 real 
@attribute REt-4 real 
@attribute REt-5 real 
@attribute Qt real 
@attribute Qt-1 real
@attribute Qt-2 real 
@attribute Qt+1 real
@data
0.0167,0.0339,0.0315,0.0297,0.0884,0.1878,45.97,46.89,47.8,45.97
0.0499,0.0167,0.0339,0.0315,0.0297,0.0884,45.97,45.97,46.89,44.15
0.0233,0.0499,0.0167,0.0339,0.0315,0.0297,44.15,45.97,45.97,43.23
0,0.0233,0.0499,0.0167,0.0339,0.0315,43.23,44.15,45.97,42.32
0,0,0.0233,0.0499,0.0167,0.0339,42.32,43.23,44.15,41.41
0,0,0,0.0233,0.0499,0.0167,41.41,42.32,43.23,40.49
0,0,0,0,0.0233,0.0499,40.49,41.41,42.32,40.49
0.0197,0,0,0,0,0.0233,40.49,40.49,41.41,39.58
0.0221,0.0197,0,0,0,0,39.58,40.49,40.49,39.58
0.0139,0.0221,0.0197,0,0,0,39.58,39.58,40.49,38.67
0,0.0139,0.0221,0.0197,0,0,38.67,39.58,39.58,37.75
0,0,0.0139,0.0221,0.0197,0,37.75,38.67,39.58,36.84
0,0,0,0.0139,0.0221,0.0197,36.84,37.75,38.67,35.93
0,0,0,0,0.0139,0.0221,35.93,36.84,37.75,35.93
0,0,0,0,0,0.0139,35.93,35.93,36.84,35.01
0,0,0,0,0,0,35.01,35.93,35.93,35.01
0.0397,0,0,0,0,0,35.01,35.01,35.93,35.01
0,0.0397,0,0,0,0,35.01,35.01,35.01,34.1
0,0,0.0397,0,0,0,34.1,35.01,35.01,33.44
0.0072,0,0,0.0397,0,0,33.44,34.1,35.01,32.79
0,0.0072,0,0,0.0397,0,32.79,33.44,34.1,32.79
0,0,0.0072,0,0,0.0397,32.79,32.79,33.44,32.79
0,0,0,0.0072,0,0,32.79,32.79,32.79,32.14
0,0,0,0,0.0072,0,32.14,32.79,32.79,32.14
0,0,0,0,0,0.0072,32.14,32.14,32.79,31.48
0,0,0,0,0,0,31.48,32.14,32.14,31.48
0,0,0,0,0,0,31.48,31.48,32.14,30.82
0,0,0,0,0,0,30.82,31.48,31.48,30.17
0,0,0,0,0,0,30.17,30.82,31.48,30.17
0.0304,0,0,0,0,0,30.17,30.17,30.82,30.17
0.002,0.0304,0,0,0,0,30.17,30.17,30.17,30.17
0.0035,0.002,0.0304,0,0,0,30.17,30.17,30.17,29.51
0.0046,0.0035,0.002,0.0304,0,0,29.51,30.17,30.17,29.51
0,0.0046,0.0035,0.002,0.0304,0,29.51,29.51,30.17,28.86
0,0,0.0046,0.0035,0.002,0.0304,28.86,29.51,29.51,28.86
0,0,0,0.0046,0.0035,0.002,28.86,28.86,29.51,28.2
0,0,0,0,0.0046,0.0035,28.2,28.86,28.86,28.2
0,0,0,0,0,0.0046,28.2,28.2,28.86,27.55
0,0,0,0,0,0,27.55,28.2,28.2,27.55
0,0,0,0,0,0,27.55,27.55,28.2,26.9
0,0,0,0,0,0,26.9,27.55,27.55,26.9
0,0,0,0,0,0,26.9,26.9,27.55,26.9
0,0,0,0,0,0,26.9,26.9,26.9,26.24
0,0,0,0,0,0,26.24,26.9,26.9,26.24
0,0,0,0,0,0,26.24,26.24,26.9,26.24
0,0,0,0,0,0,26.24,26.24,26.24,25.59
0,0,0,0,0,0,25.59,26.24,26.24,25.59
0,0,0,0,0,0,25.59,25.59,26.24,24.93
0,0,0,0,0,0,24.93,25.59,25.59,24.93
0,0,0,0,0,0,24.93,24.93,25.59,24.93
0,0,0,0,0,0,24.93,24.93,24.93,24.93
0,0,0,0,0,0,24.93,24.93,24.93,24.93
0,0,0,0,0,0,24.93,24.93,24.93,24.27
0,0,0,0,0,0,24.27,24.93,24.93,24.27
0,0,0,0,0,0,24.27,24.27,24.93,24.27
0,0,0,0,0,0,24.27,24.27,24.27,24.27
0,0,0,0,0,0,24.27,24.27,24.27,24.27
0,0,0,0,0,0,24.27,24.27,24.27,24.27
0,0,0,0,0,0,24.27,24.27,24.27,24.27
0,0,0,0,0,0,24.27,24.27,24.27,24.27
0,0,0,0,0,0,24.27,24.27,24.27,23.62
0,0,0,0,0,0,23.62,24.27,24.27,23.62
0,0,0,0,0,0,23.62,23.62,24.27,22.97
0,0,0,0,0,0,22.97,23.62,23.62,22.97
0,0,0,0,0,0,22.97,22.97,23.62,22.31
0,0,0,0,0,0,22.31,22.97,22.97,22.31
0,0,0,0,0,0,22.31,22.31,22.97,22.31
0,0,0,0,0,0,22.31,22.31,22.31,21.66
0,0,0,0,0,0,21.66,22.31,22.31,21.66
0,0,0,0,0,0,21.66,21.66,22.31,21.66
0,0,0,0,0,0,21.66,21.66,21.66,21.66
0,0,0,0,0,0,21.66,21.66,21.66,21.66
0,0,0,0,0,0,21.66,21.66,21.66,21
0,0,0,0,0,0,21,21.66,21.66,21
0,0,0,0,0,0,21,21,21.66,21
0,0,0,0,0,0,21,21,21,21
0,0,0,0,0,0,21,21,21,20.52
0,0,0,0,0,0,20.52,21,21,20.52
0,0,0,0,0,0,20.52,20.52,21,20.52
0,0,0,0,0,0,20.52,20.52,20.52,20.52
0,0,0,0,0,0,20.52,20.52,20.52,20.52
0,0,0,0,0,0,20.52,20.52,20.52,20.52
0,0,0,0,0,0,20.52,20.52,20.52,20.03
0,0,0,0,0,0,20.03,20.52,20.52,20.03
0,0,0,0,0,0,20.03,20.03,20.52,20.03
0,0,0,0,0,0,20.03,20.03,20.03,20.03
0,0,0,0,0,0,20.03,20.03,20.03,19.55
0,0,0,0,0,0,19.55,20.03,20.03,19.55
0,0,0,0,0,0,19.55,19.55,20.03,19.55
0,0,0,0,0,0,19.55,19.55,19.55,19.06
0,0,0,0,0,0,19.06,19.55,19.55,18.58
0,0,0,0,0,0,18.58,19.06,19.55,18.58
0,0,0,0,0,0,18.58,18.58,19.06,18.58
0,0,0,0,0,0,18.58,18.58,18.58,18.09
0,0,0,0,0,0,18.09,18.58,18.58,18.09
0,0,0,0,0,0,18.09,18.09,18.58,18.09
0,0,0,0,0,0,18.09,18.09,18.09,18.09
0,0,0,0,0,0,18.09,18.09,18.09,17.61
0,0,0,0,0,0,17.61,18.09,18.09,17.61
0,0,0,0,0,0,17.61,17.61,18.09,17.61
0,0,0,0,0,0,17.61,17.61,17.61,17.61
0.0554,0,0,0,0,0,17.61,17.61,17.61,17.61
0.0677,0.0554,0,0,0,0,17.61,17.61,17.61,17.12
0.1498,0.0677,0.0554,0,0,0,17.12,17.61,17.61,17.12
0.3315,0.1498,0.0677,0.0554,0,0,17.12,17.12,17.61,17.61
0.3829,0.3315,0.1498,0.0677,0.0554,0,17.61,17.12,17.12,17.61
0.3738,0.3829,0.3315,0.1498,0.0677,0.0554,17.61,17.61,17.12,17.61
0.3642,0.3738,0.3829,0.3315,0.1498,0.0677,17.61,17.61,17.61,17.61
0.2941,0.3642,0.3738,0.3829,0.3315,0.1498,17.61,17.61,17.61,17.61
0.4526,0.2941,0.3642,0.3738,0.3829,0.3315,17.61,17.61,17.61,17.61
0.58,0.4526,0.2941,0.3642,0.3738,0.3829,17.61,17.61,17.61,18.09
0.6166,0.58,0.4526,0.2941,0.3642,0.3738,18.09,17.61,17.61,18.09
0.5733,0.6166,0.58,0.4526,0.2941,0.3642,18.09,18.09,17.61,18.58
0.8007,0.5733,0.6166,0.58,0.4526,0.2941,18.58,18.09,18.09,19.06
1.5692,0.8007,0.5733,0.6166,0.58,0.4526,19.06,18.58,18.09,19.55
1.439,1.5692,0.8007,0.5733,0.6166,0.58,19.55,19.06,18.58,20.52
1.5193,1.439,1.5692,0.8007,0.5733,0.6166,20.52,19.55,19.06,21.66
1.5298,1.5193,1.439,1.5692,0.8007,0.5733,21.66,20.52,19.55,24.27
1.3605,1.5298,1.5193,1.439,1.5692,0.8007,24.27,21.66,20.52,26.24
1.0415,1.3605,1.5298,1.5193,1.439,1.5692,26.24,24.27,21.66,30.17
1.3827,1.0415,1.3605,1.5298,1.5193,1.439,30.17,26.24,24.27,39.58
1.964,1.3827,1.0415,1.3605,1.5298,1.5193,39.58,30.17,26.24,55.11
1.4354,1.964,1.3827,1.0415,1.3605,1.5298,55.11,39.58,30.17,65.21
1.0669,1.4354,1.964,1.3827,1.0415,1.3605,65.21,55.11,39.58,70.16
0.9583,1.0669,1.4354,1.964,1.3827,1.0415,70.16,65.21,55.11,78.82
0.6597,0.9583,1.0669,1.4354,1.964,1.3827,78.82,70.16,65.21,85.01
0.171,0.6597,0.9583,1.0669,1.4354,1.964,85.01,78.82,70.16,83.78
0.1222,0.171,0.6597,0.9583,1.0669,1.4354,83.78,85.01,78.82,88.73
0.0932,0.1222,0.171,0.6597,0.9583,1.0669,88.73,83.78,85.01,102.34
0.0839,0.0932,0.1222,0.171,0.6597,0.9583,102.34,88.73,83.78,99.86
0.2544,0.0839,0.0932,0.1222,0.171,0.6597,99.86,102.34,88.73,88.73
0.1247,0.2544,0.0839,0.0932,0.1222,0.171,88.73,99.86,102.34,76.35
0.1144,0.1247,0.2544,0.0839,0.0932,0.1222,76.35,88.73,99.86,67.69
0.0823,0.1144,0.1247,0.2544,0.0839,0.0932,67.69,76.35,88.73,61.5
0.0785,0.0823,0.1144,0.1247,0.2544,0.0839,61.5,67.69,76.35,57.85
0.3038,0.0785,0.0823,0.1144,0.1247,0.2544,57.85,61.5,67.69,54.19
0.2791,0.3038,0.0785,0.0823,0.1144,0.1247,54.19,57.85,61.5,52.37
0.4853,0.2791,0.3038,0.0785,0.0823,0.1144,52.37,54.19,57.85,49.63
0.2632,0.4853,0.2791,0.3038,0.0785,0.0823,49.63,52.37,54.19,48.71
0.0829,0.2632,0.4853,0.2791,0.3038,0.0785,48.71,49.63,52.37,47.8
0.0435,0.0829,0.2632,0.4853,0.2791,0.3038,47.8,48.71,49.63,46.89
0.0447,0.0435,0.0829,0.2632,0.4853,0.2791,46.89,47.8,48.71,46.89
0.0265,0.0447,0.0435,0.0829,0.2632,0.4853,46.89,46.89,47.8,46.89
0.0287,0.0265,0.0447,0.0435,0.0829,0.2632,46.89,46.89,46.89,47.8
0.0313,0.0287,0.0265,0.0447,0.0435,0.0829,47.8,46.89,46.89,46.89
0.0342,0.0313,0.0287,0.0265,0.0447,0.0435,46.89,47.8,46.89,46.89
0.0374,0.0342,0.0313,0.0287,0.0265,0.0447,46.89,46.89,47.8,45.97
0.0307,0.0374,0.0342,0.0313,0.0287,0.0265,45.97,46.89,46.89,44.15
0.024,0.0307,0.0374,0.0342,0.0313,0.0287,44.15,45.97,46.89,43.23
0.0271,0.024,0.0307,0.0374,0.0342,0.0313,43.23,44.15,45.97,41.41
0.0299,0.0271,0.024,0.0307,0.0374,0.0342,41.41,43.23,44.15,39.58
0.0273,0.0299,0.0271,0.024,0.0307,0.0374,39.58,41.41,43.23,37.75
0.0251,0.0273,0.0299,0.0271,0.024,0.0307,37.75,39.58,41.41,36.84
0.0234,0.0251,0.0273,0.0299,0.0271,0.024,36.84,37.75,39.58,35.01
0.0222,0.0234,0.0251,0.0273,0.0299,0.0271,35.01,36.84,37.75,35.01
0.0116,0.0222,0.0234,0.0251,0.0273,0.0299,35.01,35.01,36.84,34.1
0.0019,0.0116,0.0222,0.0234,0.0251,0.0273,34.1,35.01,35.01,33.44
0.0047,0.0019,0.0116,0.0222,0.0234,0.0251,33.44,34.1,35.01,32.14
0.0098,0.0047,0.0019,0.0116,0.0222,0.0234,32.14,33.44,34.1,32.14
0.0039,0.0098,0.0047,0.0019,0.0116,0.0222,32.14,32.14,33.44,31.48
0,0.0039,0.0098,0.0047,0.0019,0.0116,31.48,32.14,32.14,30.17
0,0,0.0039,0.0098,0.0047,0.0019,30.17,31.48,32.14,29.51
0.0098,0,0,0.0039,0.0098,0.0047,29.51,30.17,31.48,28.86
0.0294,0.0098,0,0,0.0039,0.0098,28.86,29.51,30.17,28.2
0.0298,0.0294,0.0098,0,0,0.0039,28.2,28.86,29.51,28.2
0.0007,0.0298,0.0294,0.0098,0,0,28.2,28.2,28.86,27.55
0.0019,0.0007,0.0298,0.0294,0.0098,0,27.55,28.2,28.2,26.9
0,0.0019,0.0007,0.0298,0.0294,0.0098,26.9,27.55,28.2,26.24
0,0,0.0019,0.0007,0.0298,0.0294,26.24,26.9,27.55,25.59
0,0,0,0.0019,0.0007,0.0298,25.59,26.24,26.9,25.59
0,0,0,0,0.0019,0.0007,25.59,25.59,26.24,24.93
0,0,0,0,0,0.0019,24.93,25.59,25.59,24.93
0,0,0,0,0,0,24.93,24.93,25.59,24.93
0,0,0,0,0,0,24.93,24.93,24.93,24.27
0.0085,0,0,0,0,0,24.27,24.93,24.93,24.27
0.0097,0.0085,0,0,0,0,24.27,24.27,24.93,24.27
0,0.0097,0.0085,0,0,0,24.27,24.27,24.27,24.27
0,0,0.0097,0.0085,0,0,24.27,24.27,24.27,24.27
0,0,0,0.0097,0.0085,0,24.27,24.27,24.27,24.27
0.0156,0,0,0,0.0097,0.0085,24.27,24.27,24.27,24.93
0.0763,0.0156,0,0,0,0.0097,24.93,24.27,24.27,24.93
0.0993,0.0763,0.0156,0,0,0,24.93,24.93,24.27,24.27
0.0916,0.0993,0.0763,0.0156,0,0,24.27,24.93,24.93,24.27
0.0919,0.0916,0.0993,0.0763,0.0156,0,24.27,24.27,24.93,24.27
0.2722,0.0919,0.0916,0.0993,0.0763,0.0156,24.27,24.27,24.27,24.93
0.3844,0.2722,0.0919,0.0916,0.0993,0.0763,24.93,24.27,24.27,26.24
1.3201,0.3844,0.2722,0.0919,0.0916,0.0993,26.24,24.93,24.27,28.86
2.7994,1.3201,0.3844,0.2722,0.0919,0.0916,28.86,26.24,24.93,32.79
4.63,2.7994,1.3201,0.3844,0.2722,0.0919,32.79,28.86,26.24,41.41
6.4811,4.63,2.7994,1.3201,0.3844,0.2722,41.41,32.79,28.86,59.67
1.0427,6.4811,4.63,2.7994,1.3201,0.3844,59.67,41.41,32.79,137.28
0.6847,1.0427,6.4811,4.63,2.7994,1.3201,137.28,59.67,41.41,175.24
0.4572,0.6847,1.0427,6.4811,4.63,2.7994,175.24,137.28,59.67,166.48
0.4399,0.4572,0.6847,1.0427,6.4811,4.63,166.48,175.24,137.28,141.66
0.4328,0.4399,0.4572,0.6847,1.0427,6.4811,141.66,166.48,175.24,122.68
1.0459,0.4328,0.4399,0.4572,0.6847,1.0427,122.68,141.66,166.48,109.76
1.5989,1.0459,0.4328,0.4399,0.4572,0.6847,109.76,122.68,141.66,106.05
1.5319,1.5989,1.0459,0.4328,0.4399,0.4572,106.05,109.76,122.68,111
2.1546,1.5319,1.5989,1.0459,0.4328,0.4399,111,106.05,109.76,122.68
1.907,2.1546,1.5319,1.5989,1.0459,0.4328,122.68,111,106.05,134.36
1.7791,1.907,2.1546,1.5319,1.5989,1.0459,134.36,122.68,111,144.58
2.3307,1.7791,1.907,2.1546,1.5319,1.5989,144.58,134.36,122.68,150.42
1.3618,2.3307,1.7791,1.907,2.1546,1.5319,150.42,144.58,134.36,162.1
0.6124,1.3618,2.3307,1.7791,1.907,2.1546,162.1,150.42,144.58,179.62
0.7022,0.6124,1.3618,2.3307,1.7791,1.907,179.62,162.1,150.42,184
0.6304,0.7022,0.6124,1.3618,2.3307,1.7791,184,179.62,162.1,178.16
0.3173,0.6304,0.7022,0.6124,1.3618,2.3307,178.16,184,179.62,165.02
0.2433,0.3173,0.6304,0.7022,0.6124,1.3618,165.02,178.16,184,147.5
0.0894,0.2433,0.3173,0.6304,0.7022,0.6124,147.5,165.02,178.16,132.9
0.4663,0.0894,0.2433,0.3173,0.6304,0.7022,132.9,147.5,165.02,122.68
0.1445,0.4663,0.0894,0.2433,0.3173,0.6304,122.68,132.9,147.5,113.92
0.0643,0.1445,0.4663,0.0894,0.2433,0.3173,113.92,122.68,132.9,107.29
0.0449,0.0643,0.1445,0.4663,0.0894,0.2433,107.29,113.92,122.68,101.1
0.026,0.0449,0.0643,0.1445,0.4663,0.0894,101.1,107.29,113.92,97.39
0,0.026,0.0449,0.0643,0.1445,0.4663,97.39,101.1,107.29,92.44
0,0,0.026,0.0449,0.0643,0.1445,92.44,97.39,101.1,88.73
0,0,0,0.026,0.0449,0.0643,88.73,92.44,97.39,83.78
0,0,0,0,0.026,0.0449,83.78,88.73,92.44,78.82
0,0,0,0,0,0.026,78.82,83.78,88.73,75.11
0,0,0,0,0,0,75.11,78.82,83.78,71.4
0,0,0,0,0,0,71.4,75.11,78.82,68.93
0,0,0,0,0,0,68.93,71.4,75.11,65.21
0,0,0,0,0,0,65.21,68.93,71.4,62.74
0,0,0,0,0,0,62.74,65.21,68.93,60.59
0,0,0,0,0,0,60.59,62.74,65.21,59.67
0,0,0,0,0,0,59.67,60.59,62.74,57.85
0,0,0,0,0,0,57.85,59.67,60.59,56.93
0,0,0,0,0,0,56.93,57.85,59.67,56.02
0,0,0,0,0,0,56.02,56.93,57.85,55.11
0.006,0,0,0,0,0,55.11,56.02,56.93,53.28
0.0066,0.006,0,0,0,0,53.28,55.11,56.02,52.37
0.0275,0.0066,0.006,0,0,0,52.37,53.28,55.11,51.45
0.1382,0.0275,0.0066,0.006,0,0,51.45,52.37,53.28,50.54
0.1209,0.1382,0.0275,0.0066,0.006,0,50.54,51.45,52.37,50.54
0.1668,0.1209,0.1382,0.0275,0.0066,0.006,50.54,50.54,51.45,49.63
0.1462,0.1668,0.1209,0.1382,0.0275,0.0066,49.63,50.54,50.54,48.71
0.1168,0.1462,0.1668,0.1209,0.1382,0.0275,48.71,49.63,50.54,47.8
0.128,0.1168,0.1462,0.1668,0.1209,0.1382,47.8,48.71,49.63,47.8
0.3198,0.128,0.1168,0.1462,0.1668,0.1209,47.8,47.8,48.71,46.89
0.6621,0.3198,0.128,0.1168,0.1462,0.1668,46.89,47.8,47.8,46.89
0.6848,0.6621,0.3198,0.128,0.1168,0.1462,46.89,46.89,47.8,46.89
0.6778,0.6848,0.6621,0.3198,0.128,0.1168,46.89,46.89,46.89,46.89
0.541,0.6778,0.6848,0.6621,0.3198,0.128,46.89,46.89,46.89,47.8
0.9044,0.541,0.6778,0.6848,0.6621,0.3198,47.8,46.89,46.89,47.8
1.1878,0.9044,0.541,0.6778,0.6848,0.6621,47.8,47.8,46.89,51.45
1.311,1.1878,0.9044,0.541,0.6778,0.6848,51.45,47.8,47.8,61.5
5.634,1.311,1.1878,0.9044,0.541,0.6778,61.5,51.45,47.8,88.73
8.6867,5.634,1.311,1.1878,0.9044,0.541,88.73,61.5,51.45,156.26
3.879,8.6867,5.634,1.311,1.1878,0.9044,156.26,88.73,61.5,251.69
2.1892,3.879,8.6867,5.634,1.311,1.1878,251.69,156.26,88.73,328.01
0.618,2.1892,3.879,8.6867,5.634,1.311,328.01,251.69,156.26,373.74
